fabricante,tipo_vehículo,transmision,tipo_combustible,cat_precio,marchas,cilindros,tamaño_motor,consumo_ciudad,consumo_carretera,consumo_combinado,mpg,co2
audi,suv - standard,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,15.1,10.9,13.2,21,304
audi,suv - standard,automático con selector de marcha,diesel,rango_medio,8,6,3.0,12.4,8.7,10.7,26,290
audi,two-seater,automático,gasolina premium,rango_medio,7,8,4.2,17.6,11.0,14.6,19,336
audi,two-seater,manual,gasolina premium,rango_medio,6,8,4.2,21.2,13.4,17.7,16,407
audi,two-seater,automático,gasolina premium,rango_medio,7,10,5.2,18.2,10.6,14.8,19,347
audi,two-seater,manual,gasolina premium,rango_medio,6,10,5.2,21.1,13.8,17.8,16,409
audi,subcompact,automático,gasolina premium,rango_medio,7,8,4.2,15.3,10.9,13.3,21,306
audi,subcompact,automático,gasolina premium,rango_medio,7,8,4.2,15.2,11.3,13.4,21,308
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,8,4.0,15.5,8.8,12.5,23,293
audi,compact,automático,gasolina premium,rango_medio,7,6,3.0,13.2,9.2,11.4,25,262
audi,compact,manual,gasolina premium,rango_medio,6,6,3.0,14.6,9.8,12.4,23,285
audi,subcompact,automático,gasolina premium,rango_medio,7,6,3.0,13.2,9.2,11.4,25,262
audi,subcompact,manual,gasolina premium,rango_medio,6,6,3.0,14.6,9.8,12.4,23,285
audi,subcompact,automático,gasolina premium,rango_medio,7,6,3.0,13.3,9.5,11.6,24,267
audi,mid-size,automático,gasolina premium,rango_medio,7,8,4.0,14.2,9.7,12.2,23,281
audi,mid-size,automático con selector de marcha,gasolina premium,rango_medio,8,8,4.0,15.8,9.2,12.8,22,300
audi,suv - small,automático con selector de marcha,gasolina premium,rango_medio,8,6,3.0,14.9,10.1,12.7,22,292
audi,subcompact,automático,gasolina premium,rango_medio,6,4,2.0,10.4,7.6,9.1,31,209
audi,two-seater,automático,gasolina premium,rango_medio,6,4,2.0,10.4,7.6,9.1,31,209
audi,subcompact,automático,gasolina premium,rango_medio,6,4,2.0,11.5,8.8,10.3,27,237
audi,two-seater,automático,gasolina premium,rango_medio,6,4,2.0,11.5,8.8,10.3,27,237
bentley,subcompact,automático con selector de marcha,gasolina premium,premium,8,8,4.0,16.3,9.8,13.4,21,314
bentley,subcompact,automático con selector de marcha,gasolina premium,premium,8,12,6.0,18.8,11.5,15.5,18,356
bentley,subcompact,automático con selector de marcha,gasolina premium,premium,8,8,4.0,17.4,10.2,14.2,20,332
bentley,subcompact,automático con selector de marcha,gasolina premium,premium,8,12,6.0,20.0,12.2,16.5,17,380
bentley,mid-size,automático con selector de marcha,gasolina premium,premium,8,12,6.0,20.3,11.9,16.5,17,388
bentley,mid-size,automático con selector de marcha,gasolina premium,premium,8,8,6.8,22.3,14.9,19.0,15,437
bmw,compact,automático,gasolina premium,premium,8,4,2.0,10.0,6.5,8.4,34,193
bmw,compact,manual,gasolina premium,premium,6,4,2.0,10.4,6.7,8.7,32,200
bmw,compact,automático,gasolina premium,premium,8,4,2.0,10.2,7.0,8.8,32,202
bmw,compact,automático,diesel,premium,8,4,2.0,7.6,5.5,6.7,42,181
bmw,station wagon - small,automático,diesel,premium,8,4,2.0,7.6,5.5,6.7,42,181
bmw,compact,automático,gasolina premium,premium,8,4,2.0,10.6,7.2,9.1,31,209
bmw,full-size,automático,gasolina premium,premium,8,4,2.0,10.6,7.2,9.1,31,209
bmw,station wagon - small,automático,gasolina premium,premium,8,4,2.0,10.6,7.2,9.1,31,209
bmw,compact,automático,gasolina premium,premium,8,6,3.0,11.4,7.3,9.6,29,221
bmw,compact,manual,gasolina premium,premium,6,6,3.0,11.8,7.9,10.0,28,230
bmw,compact,automático,gasolina premium,premium,8,6,3.0,11.7,7.8,9.9,29,228
bmw,compact,manual,gasolina premium,premium,6,6,3.0,11.9,8.3,10.3,27,237
bmw,full-size,automático,gasolina premium,premium,8,6,3.0,11.9,8.0,10.1,28,232
bmw,mid-size,automático,gasolina premium,premium,8,4,2.0,10.2,7.0,8.8,32,202
bmw,mid-size,automático,gasolina premium,premium,8,4,2.0,10.6,7.2,9.1,31,209
bmw,mid-size,automático,diesel,premium,8,6,3.0,9.2,6.4,7.9,36,213
bmw,mid-size,automático,gasolina premium,premium,8,6,3.0,11.9,8.0,10.1,28,232
bmw,full-size,automático,gasolina premium,premium,8,6,3.0,12.5,8.6,10.7,26,246
bmw,mid-size,automático,gasolina premium,premium,8,8,4.4,14.4,9.6,12.2,23,281
bmw,full-size,automático,gasolina premium,premium,8,8,4.4,15.0,9.8,12.7,22,292
bmw,compact,automático,gasolina premium,premium,8,6,3.0,11.9,8.0,10.1,28,232
bmw,subcompact,automático,gasolina premium,premium,8,8,4.4,15.0,9.8,12.7,22,292
bmw,compact,automático,gasolina premium,premium,8,8,4.4,14.4,9.6,12.2,23,281
bmw,compact,automático,gasolina premium,premium,8,8,4.4,15.0,9.8,12.7,22,292
bmw,full-size,automático,gasolina premium,premium,8,12,6.0,18.7,11.5,15.5,18,356
bmw,compact,automático,gasolina premium,premium,8,6,3.0,9.2,7.1,8.3,34,191
bmw,mid-size,automático,gasolina premium,premium,8,6,3.0,10.5,7.9,9.3,30,214
bmw,full-size,automático,gasolina premium,premium,8,6,3.0,10.5,7.6,9.2,31,212
bmw,mid-size,automático manual,gasolina premium,premium,7,8,4.4,17.3,11.5,14.7,19,338
bmw,mid-size,manual,gasolina premium,premium,6,8,4.4,16.2,10.9,13.8,20,317
bmw,compact,automático manual,gasolina premium,premium,7,8,4.4,17.3,11.5,14.7,19,338
bmw,compact,manual,gasolina premium,premium,6,8,4.4,16.2,10.9,13.8,20,317
bmw,subcompact,automático manual,gasolina premium,premium,7,8,4.4,17.3,11.5,14.7,19,338
bmw,subcompact,manual,gasolina premium,premium,6,8,4.4,16.2,10.9,13.8,20,317
bmw,suv - small,automático,gasolina premium,premium,8,4,2.0,10.6,7.2,9.1,31,209
bmw,suv - small,automático,gasolina premium,premium,6,6,3.0,13.2,8.9,11.3,25,260
bmw,suv - small,automático,gasolina premium,premium,8,4,2.0,11.2,8.5,10.0,28,230
bmw,suv - small,automático,gasolina premium,premium,8,6,3.0,12.6,9.1,11.0,26,253
bmw,suv - standard,automático,gasolina premium,premium,8,6,3.0,12.9,8.8,11.1,25,255
bmw,suv - standard,automático,gasolina premium,premium,8,8,4.4,16.3,10.9,13.9,20,320
bmw,suv - standard,automático,gasolina premium,premium,6,8,4.4,18.1,13.7,16.1,18,370
bmw,suv - standard,automático,gasolina premium,premium,8,6,3.0,13.6,9.8,11.9,24,274
bmw,suv - standard,automático,gasolina premium,premium,8,8,4.4,16.4,11.3,14.1,20,324
bmw,two-seater,automático,gasolina premium,premium,8,4,2.0,10.8,7.1,9.1,31,209
bmw,two-seater,manual,gasolina premium,premium,6,4,2.0,10.4,6.7,8.7,32,200
bmw,two-seater,automático manual,gasolina premium,premium,7,6,3.0,13.7,10.1,12.1,23,278
bmw,two-seater,manual,gasolina premium,premium,6,6,3.0,12.7,9.0,11.0,26,253
buick,suv - standard,automático,gasolina,rango_medio,6,6,3.6,14.3,9.9,12.3,23,283
buick,suv - standard,automático,gasolina,rango_medio,6,6,3.6,14.6,10.2,12.6,22,290
buick,suv - small,automático con selector de marcha,gasolina,rango_medio,6,4,1.4,9.5,7.2,8.5,33,196
buick,suv - small,automático con selector de marcha,gasolina,rango_medio,6,4,1.4,10.2,8.0,9.2,31,212
buick,mid-size,automático con selector de marcha,gasolina,rango_medio,6,6,3.6,13.7,8.7,11.5,25,264
buick,mid-size,automático con selector de marcha,ethanol,rango_medio,6,6,3.6,18.4,12.2,15.6,18,250
buick,mid-size,automático con selector de marcha,gasolina,rango_medio,6,6,3.6,13.7,8.9,11.5,25,264
buick,mid-size,automático con selector de marcha,ethanol,rango_medio,6,6,3.6,19.4,13.0,16.5,17,264
buick,mid-size,automático con selector de marcha,gasolina,rango_medio,6,4,2.4,9.6,6.5,8.2,34,189
buick,mid-size,automático con selector de marcha,gasolina premium,rango_medio,6,4,2.0,11.5,7.9,9.9,29,228
buick,mid-size,manual,gasolina premium,rango_medio,6,4,2.0,11.6,7.5,9.8,29,225
buick,mid-size,automático con selector de marcha,gasolina premium,rango_medio,6,4,2.0,12.3,8.7,10.7,26,246
buick,compact,automático con selector de marcha,gasolina premium,rango_medio,6,4,2.0,11.5,7.9,9.9,29,228
buick,compact,manual,gasolina premium,rango_medio,6,4,2.0,11.6,7.5,9.8,29,225
buick,compact,automático con selector de marcha,gasolina,rango_medio,6,4,2.4,11.3,7.4,9.5,30,218
cadillac,compact,automático con selector de marcha,gasolina premium,premium,6,4,2.0,11.3,7.5,9.6,29,221
cadillac,compact,manual,gasolina premium,premium,6,4,2.0,12.1,7.9,10.2,28,235
cadillac,compact,automático con selector de marcha,gasolina,premium,6,4,2.5,10.5,7.2,9.0,31,207
cadillac,compact,automático con selector de marcha,gasolina,premium,6,6,3.6,12.8,8.5,10.9,26,251
cadillac,compact,automático con selector de marcha,gasolina premium,premium,6,4,2.0,11.8,8.1,10.1,28,232
cadillac,compact,automático con selector de marcha,gasolina,premium,6,6,3.6,13.1,9.0,11.3,25,260
cadillac,mid-size,automático con selector de marcha,gasolina,premium,6,6,3.6,13.2,8.7,11.2,25,258
cadillac,mid-size,automático con selector de marcha,gasolina,premium,6,6,3.6,13.3,9.0,11.4,25,262
cadillac,mid-size,automático con selector de marcha,gasolina premium,premium,6,4,2.0,11.9,7.9,10.1,28,232
cadillac,mid-size,automático con selector de marcha,gasolina,premium,8,6,3.6,12.9,8.2,10.8,26,248
cadillac,mid-size,automático con selector de marcha,gasolina premium,premium,6,4,2.0,12.6,8.5,10.8,26,248
cadillac,mid-size,automático con selector de marcha,gasolina,premium,6,6,3.6,13.1,9.0,11.3,25,260
cadillac,mid-size,automático con selector de marcha,gasolina premium,premium,8,6,3.6,15.1,9.9,12.8,22,294
cadillac,station wagon - small,automático con selector de marcha,gasolina,premium,6,6,3.0,12.7,8.9,11.0,26,253
cadillac,station wagon - small,automático con selector de marcha,gasolina,premium,6,6,3.6,13.3,8.9,11.3,25,260
cadillac,station wagon - small,automático con selector de marcha,gasolina,premium,6,6,3.0,12.8,9.1,11.1,25,255
cadillac,station wagon - small,automático con selector de marcha,gasolina,premium,6,6,3.6,13.3,9.0,11.4,25,262
cadillac,mid-size,automático con selector de marcha,gasolina premium,premium,6,8,6.2,19.7,12.9,16.6,17,382
cadillac,mid-size,manual,gasolina premium,premium,6,8,6.2,16.7,12.5,14.8,19,340
cadillac,station wagon - small,automático con selector de marcha,gasolina premium,premium,6,8,6.2,19.7,12.9,16.6,17,382
cadillac,station wagon - small,manual,gasolina premium,premium,6,8,6.2,16.7,12.5,14.8,19,340
cadillac,suv - standard,automático,gasolina premium,premium,6,8,6.2,17.0,11.8,14.7,19,338
cadillac,suv - standard,automático,ethanol,premium,6,8,6.2,23.3,16.1,20.1,14,322
cadillac,suv - standard,automático,gasolina premium,premium,6,8,6.2,18.8,13.4,16.4,17,377
cadillac,suv - standard,automático,ethanol,premium,6,8,6.2,25.7,17.8,22.1,13,354
cadillac,suv - standard,automático con selector de marcha,gasolina,premium,6,6,3.6,14.3,9.8,12.3,23,283
cadillac,suv - standard,automático con selector de marcha,gasolina,premium,6,6,3.6,14.8,10.4,12.8,22,294
cadillac,full-size,automático con selector de marcha,gasolina,premium,6,6,3.6,13.6,8.6,11.4,25,262
cadillac,full-size,automático con selector de marcha,gasolina,premium,6,6,3.6,14.0,9.1,11.8,24,271
cadillac,full-size,automático con selector de marcha,gasolina premium,premium,6,6,3.6,14.8,9.8,12.6,22,290
chevrolet,compact,automático con selector de marcha,gasolina,asequibles,6,6,3.6,13.2,8.7,11.2,25,258
chevrolet,compact,manual,gasolina,asequibles,6,6,3.6,14.2,8.6,11.7,24,269
chevrolet,compact,automático con selector de marcha,gasolina,asequibles,6,6,3.6,12.7,7.9,10.5,27,242
chevrolet,compact,automático con selector de marcha,gasolina premium,asequibles,6,8,6.2,15.3,9.8,12.8,22,294
chevrolet,compact,manual,gasolina premium,asequibles,6,8,6.2,15.0,9.9,12.7,22,292
chevrolet,compact,automático con selector de marcha,gasolina premium,asequibles,6,8,6.2,19.7,12.9,16.6,17,382
chevrolet,compact,manual,gasolina premium,asequibles,6,8,6.2,16.7,12.5,14.8,19,340
chevrolet,two-seater,automático con selector de marcha,gasolina premium,asequibles,6,8,6.2,14.9,8.5,12.0,24,276
chevrolet,two-seater,manual,gasolina premium,asequibles,7,8,6.2,13.7,8.2,11.2,25,258
chevrolet,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,1.4,9.1,6.3,7.8,36,179
chevrolet,mid-size,manual,gasolina,asequibles,6,4,1.4,9.1,6.3,7.8,36,179
chevrolet,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,1.8,10.5,6.7,8.8,32,202
chevrolet,mid-size,manual,gasolina,asequibles,6,4,1.8,9.5,6.5,8.2,34,189
chevrolet,mid-size,automático con selector de marcha,diesel,asequibles,6,4,2.0,8.7,5.1,7.1,40,192
chevrolet,mid-size,automático,gasolina,asequibles,6,4,1.4,9.1,6.0,7.7,37,177
chevrolet,mid-size,manual,gasolina,asequibles,6,4,1.4,8.4,5.6,7.1,40,163
chevrolet,suv - small,automático,gasolina,asequibles,6,4,2.4,10.5,7.3,9.1,31,209
chevrolet,suv - small,automático,gasolina,asequibles,6,6,3.6,13.9,9.6,12.0,24,276
chevrolet,suv - small,automático,ethanol,asequibles,6,6,3.6,18.8,13.1,16.2,17,259
chevrolet,suv - small,automático,gasolina,asequibles,6,4,2.4,11.5,8.2,10.0,28,230
chevrolet,suv - small,automático,gasolina,asequibles,6,6,3.6,14.8,9.9,12.6,22,290
chevrolet,suv - small,automático,ethanol,asequibles,6,6,3.6,19.8,13.6,17.0,17,272
chevrolet,van - cargo,automático,gasolina,asequibles,4,6,4.3,17.1,12.7,15.1,19,347
chevrolet,van - cargo,automático,gasolina,asequibles,4,8,5.3,18.0,13.4,15.9,18,366
chevrolet,van - cargo,automático,ethanol,asequibles,4,8,5.3,23.5,17.7,20.9,14,334
chevrolet,van - cargo,automático,gasolina,asequibles,4,8,5.3,18.3,14.2,16.5,17,380
chevrolet,van - cargo,automático,ethanol,asequibles,4,8,5.3,23.7,18.8,21.5,13,344
chevrolet,van - cargo,automático,gasolina,asequibles,4,8,5.3,18.6,13.9,16.5,17,380
chevrolet,van - cargo,automático,ethanol,asequibles,4,8,5.3,23.9,18.5,21.5,13,344
chevrolet,van - cargo,automático,ethanol,asequibles,4,8,5.3,25.3,19.3,22.6,12,362
chevrolet,van - passenger,automático,gasolina,asequibles,4,8,5.3,18.6,13.9,16.5,17,380
chevrolet,van - passenger,automático,ethanol,asequibles,4,8,5.3,23.9,18.5,21.5,13,344
chevrolet,van - passenger,automático,gasolina,asequibles,4,8,5.3,18.3,14.2,16.5,17,380
chevrolet,van - passenger,automático,ethanol,asequibles,4,8,5.3,25.3,19.3,22.6,12,362
chevrolet,van - passenger,automático,gasolina,asequibles,6,8,4.8,21.1,14.2,18.0,16,414
chevrolet,van - passenger,automático,gasolina,asequibles,6,8,6.0,21.9,15.0,18.8,15,432
chevrolet,van - passenger,automático,ethanol,asequibles,6,8,6.0,30.0,20.4,25.7,11,411
chevrolet,van - passenger,automático,gasolina,asequibles,6,8,4.8,21.3,14.3,18.2,16,419
chevrolet,van - passenger,automático,gasolina,asequibles,6,8,6.0,22.1,15.0,18.9,15,435
chevrolet,van - passenger,automático,ethanol,asequibles,6,8,6.0,30.2,20.5,25.8,11,413
chevrolet,full-size,automático con selector de marcha,gasolina,asequibles,6,4,2.5,11.3,7.5,9.6,29,221
chevrolet,full-size,automático con selector de marcha,gasolina,asequibles,6,6,3.6,12.6,8.2,10.6,27,244
chevrolet,full-size,automático con selector de marcha,ethanol,asequibles,6,6,3.6,16.7,11.3,14.3,20,229
chevrolet,full-size,automático con selector de marcha,gasolina,asequibles,6,4,2.4,10.0,7.0,8.7,32,200
chevrolet,mid-size,automático con selector de marcha,gasolina premium,asequibles,6,4,2.0,11.5,7.9,9.9,29,228
chevrolet,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,2.5,9.3,6.4,8.0,35,184
chevrolet,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,2.4,12.2,8.6,10.6,27,244
chevrolet,suv - small,manual,gasolina,asequibles,6,4,2.4,11.8,8.3,10.2,28,235
chevrolet,pickup truck - standard,automático,gasolina,asequibles,6,6,4.3,13.4,9.9,11.8,24,271
chevrolet,pickup truck - standard,automático,ethanol,asequibles,6,6,4.3,18.9,14.2,16.8,17,269
chevrolet,pickup truck - standard,automático,gasolina,asequibles,6,8,5.3,14.6,10.3,12.7,22,292
chevrolet,pickup truck - standard,automático,ethanol,asequibles,6,8,5.3,19.5,13.7,16.9,17,270
chevrolet,pickup truck - standard,automático,gasolina premium,asequibles,6,8,6.2,16.3,11.4,14.1,20,324
chevrolet,pickup truck - standard,automático,gasolina,asequibles,6,6,4.3,14.2,10.6,12.6,22,290
chevrolet,pickup truck - standard,automático,ethanol,asequibles,6,6,4.3,20.0,15.1,17.8,16,285
chevrolet,pickup truck - standard,automático,gasolina,asequibles,6,8,5.3,14.9,10.6,13.0,22,299
chevrolet,pickup truck - standard,automático,ethanol,asequibles,6,8,5.3,19.9,14.2,17.3,16,277
chevrolet,pickup truck - standard,automático,gasolina premium,asequibles,6,8,6.2,16.4,11.7,14.3,20,329
chevrolet,compact,automático con selector de marcha,gasolina,asequibles,6,4,1.4,9.1,6.7,8.0,35,184
chevrolet,compact,manual,gasolina,asequibles,6,4,1.4,8.5,6.2,7.5,38,173
chevrolet,compact,automático con selector de marcha,gasolina,asequibles,6,4,1.8,9.6,6.6,8.3,34,191
chevrolet,compact,manual,gasolina,asequibles,5,4,1.8,8.9,6.7,7.9,36,182
chevrolet,compact,automático con selector de marcha,gasolina,asequibles,6,4,1.4,9.4,7.0,8.3,34,191
chevrolet,compact,manual,gasolina,asequibles,6,4,1.4,8.8,7.0,8.0,35,184
chevrolet,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,1.4,9.1,6.7,8.0,35,184
chevrolet,mid-size,manual,gasolina,asequibles,6,4,1.4,8.5,6.2,7.5,38,172
chevrolet,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,1.8,9.6,6.6,8.3,34,191
chevrolet,mid-size,manual,gasolina,asequibles,5,4,1.8,8.9,6.7,7.9,36,182
chevrolet,mid-size,automático con selector de marcha,gasolina,asequibles,6,4,1.4,9.4,7.0,8.3,34,191
chevrolet,mid-size,manual,gasolina,asequibles,6,4,1.4,8.8,7.0,8.0,35,184
chevrolet,subcompact,manual,gasolina,asequibles,5,4,1.2,7.6,6.0,6.9,41,159
chevrolet,suv - standard,automático,gasolina,asequibles,6,8,5.3,16.0,11.1,13.8,20,317
chevrolet,suv - standard,automático,ethanol,asequibles,6,8,5.3,21.5,14.6,18.4,15,294
chevrolet,suv - standard,automático,gasolina,asequibles,6,6,3.6,14.3,9.9,12.3,23,283
chevrolet,suv - standard,automático,gasolina,asequibles,6,6,3.6,14.6,10.2,12.6,22,290
chevrolet,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,1.4,9.4,7.1,8.4,34,193
chevrolet,suv - small,manual,gasolina,asequibles,6,4,1.4,9.1,6.8,8.1,35,186
chevrolet,suv - small,automático con selector de marcha,gasolina,asequibles,6,4,1.4,10.0,7.8,9.0,31,207
chrysler,full-size,automático,gasolina,rango_medio,8,6,3.6,12.4,7.7,10.3,27,237
chrysler,compact,automático,gasolina,rango_medio,4,4,2.4,11.7,8.2,10.1,28,232
chrysler,compact,automático,gasolina,rango_medio,6,4,2.4,12.9,8.1,10.7,26,246
chrysler,compact,automático,gasolina,rango_medio,6,6,3.6,12.5,8.1,10.5,27,242
chrysler,compact,automático,ethanol,rango_medio,6,6,3.6,17.0,11.2,14.4,20,230
chrysler,mid-size,automático,gasolina,rango_medio,4,4,2.4,11.2,8.0,9.8,29,225
chrysler,mid-size,automático,gasolina,rango_medio,6,4,2.4,12.0,7.6,10.0,28,230
chrysler,mid-size,automático,gasolina,rango_medio,6,6,3.6,12.5,8.1,10.5,27,242
chrysler,mid-size,automático,ethanol,rango_medio,6,6,3.6,17.0,11.2,14.4,20,230
chrysler,full-size,automático,gasolina,rango_medio,5,8,5.7,15.8,9.2,12.8,22,294
chrysler,full-size,automático,gasolina,rango_medio,8,6,3.6,12.8,8.6,10.9,26,251
chrysler,full-size,automático,gasolina,rango_medio,5,8,5.7,16.1,10.0,13.4,21,308
chrysler,full-size,automático,ethanol,rango_medio,8,6,3.6,17.3,11.7,14.8,19,237
chrysler,full-size,automático,ethanol,rango_medio,8,6,3.6,16.8,10.3,13.9,20,222
chrysler,full-size,automático,gasolina premium,rango_medio,5,8,6.4,16.7,10.3,13.8,20,317
chrysler,minivan,automático,gasolina,rango_medio,6,6,3.6,14.1,9.5,12.0,24,276
chrysler,minivan,automático,ethanol,rango_medio,6,6,3.6,19.7,13.3,16.8,17,269
dodge,mid-size,automático,gasolina,rango_medio,4,4,2.4,11.2,8.0,9.8,29,225
dodge,mid-size,automático,gasolina,rango_medio,6,4,2.4,12.0,7.6,10.0,28,230
dodge,mid-size,automático,gasolina,rango_medio,6,6,3.6,12.5,8.1,10.5,27,242
dodge,mid-size,automático,ethanol,rango_medio,6,6,3.6,17.0,11.2,14.4,20,230
dodge,mid-size,automático,gasolina,rango_medio,5,6,3.6,13.2,8.7,11.2,25,258
dodge,mid-size,manual,gasolina,rango_medio,6,8,5.7,15.6,10.0,13.1,22,301
dodge,mid-size,automático,gasolina,rango_medio,5,8,5.7,15.8,9.2,12.8,22,294
dodge,mid-size,manual,gasolina premium,rango_medio,6,8,6.4,16.8,10.4,13.9,20,320
dodge,mid-size,automático,gasolina premium,rango_medio,5,8,6.4,16.7,10.3,13.8,20,317
dodge,full-size,automático,gasolina,rango_medio,5,6,3.6,13.2,8.7,11.2,25,258
dodge,full-size,automático,gasolina,rango_medio,8,6,3.6,12.4,7.7,10.3,27,237
dodge,full-size,automático,gasolina,rango_medio,5,8,5.7,15.8,9.2,12.8,22,294
dodge,full-size,automático,gasolina,rango_medio,8,6,3.6,12.8,8.6,10.9,26,251
dodge,full-size,automático,gasolina,rango_medio,5,8,5.7,16.1,10.0,13.4,21,308
dodge,full-size,automático,ethanol,rango_medio,8,6,3.6,17.3,11.7,14.8,19,237
dodge,full-size,automático,ethanol,rango_medio,5,6,3.6,18.3,12.6,15.7,18,251
dodge,full-size,automático,gasolina,rango_medio,8,6,3.6,12.3,7.6,10.2,28,235
dodge,full-size,automático,ethanol,rango_medio,8,6,3.6,16.8,10.3,13.9,20,222
dodge,full-size,automático,gasolina premium,rango_medio,5,8,6.4,16.7,10.3,13.8,20,317
dodge,mid-size,manual,gasolina,rango_medio,6,4,2.0,9.4,6.5,8.1,35,186
dodge,mid-size,automático,gasolina,rango_medio,6,4,2.4,10.1,6.8,8.6,33,198
dodge,mid-size,manual,gasolina,rango_medio,6,4,2.4,10.5,6.7,8.8,32,202
dodge,mid-size,automático,gasolina,rango_medio,6,4,2.0,9.9,7.0,8.6,33,198
dodge,mid-size,automático,ethanol,rango_medio,6,4,2.0,14.2,9.8,12.2,23,195
dodge,mid-size,automático,gasolina,rango_medio,6,4,2.4,10.6,7.5,9.2,31,212
dodge,mid-size,manual,gasolina,rango_medio,6,4,2.4,10.2,7.0,8.8,32,202
dodge,mid-size,automático manual,gasolina,rango_medio,6,4,1.4,8.4,5.9,7.3,39,168
